Why or why not?,Why or why not?.1,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions.",Describe the conversation with coworkers you had about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names).,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions.",Describe the conversation you had with your previous coworkers about your mental health including their reactions.,Describe the conversation your coworker had with you about their mental health (please do not use names)..1,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees.,Describe the circumstances of the badly handled or unsupportive response.,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so.",Why or why not?_cleaned,Why or why not?.1_cleaned,"Describe the conversation you had with your employer about your mental health, including their reactions and what actions were taken to address your mental health issue/questions._cleaned",Describe the conversation with coworkers you had about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)._cleaned,"Describe the conversation you had with your previous employer about your mental health, including their reactions and actions taken to address your mental health issue/questions._cleaned",Describe the conversation you had with your previous coworkers about your mental health including their reactions._cleaned,Describe the conversation your coworker had with you about their mental health (please do not use names)..1_cleaned,Briefly describe what you think the industry as a whole and/or employers could do to improve mental health support for employees._cleaned,Describe the circumstances of the badly handled or unsupportive response._cleaned,"If there is anything else you would like to tell us that has not been covered by the survey questions, please use this space to do so._cleaned",combined_text,sentiment_score,sentiment_label,country
If it impacts work I would bring it up,If I feel it's under control I likely wouldn't bring it up for fear of adding something they would need to consider when hiring.,,"Mainly was a general 'maybe I should go see somebody'. They didn't really have a reaction, it was fine to bring up and discuss.",They talked about how they are active in the mental health world and how they suffer from mental health issues.,,,,,,,impact work would bring,feel control likely wouldnt bring fear adding something would need consider hiring,,mainly general maybe go see somebody didnt really reaction fine bring discus,talked active mental health world suffer mental health issue,,,,,,,impact work would bring feel control likely wouldnt bring fear adding something would need consider hiring  mainly general maybe go see somebody didnt really reaction fine bring discus talked active mental health world suffer mental health issue      ,0.0078,Neutral,United States of America
I do not trust that the potential employer would remain unbiased in light of such information.,I do not trust that the potential employer would remain unbiased in light of such information.,,"I prefer only to say that a recent coworker has been very supportive and understanding when I've shared info about my mental health. That hasn't always been the case with previous, different coworkers.",I prefer only to say that a recent coworker has been very open and forthcoming when they've shared info about their mental health.,,I prefer only to say that those previous coworkers with whom I shared some of my mental health history were very supportive and understanding. ,,,"As I recall, a direct supervisor was identified as having an anxiety disorder after missing several days of work through very informal channels.",,trust potential employer would remain unbiased light information,trust potential employer would remain unbiased light information,,prefer say recent coworker supportive understanding ive shared info mental health hasnt always case previous different coworkers,prefer say recent coworker open forthcoming theyve shared info mental health,,prefer say previous coworkers shared mental health history supportive understanding,,,recall direct supervisor identified anxiety disorder missing several day work informal channel,,trust potential employer would remain unbiased light information trust potential employer would remain unbiased light information  prefer say recent coworker supportive understanding ive shared info mental health hasnt always case previous different coworkers prefer say recent coworker open forthcoming theyve shared info mental health  prefer say previous coworkers shared mental health history supportive understanding   recall direct supervisor identified anxiety disorder missing several day work informal channel ,0.886,Positive,United States of America
It depends on its applicability to my job and how detrimental it could be.,The stigma attached to mental health and not knowing the interviewers feelings on it could potentially affect my ability to obtain said job.,,"It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it.","It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it.",,,,I think opening up more conversation around these issues and increasing awareness around mental health would help ease conversations about it,,Thank you,depends applicability job detrimental could,stigma attached mental health knowing interviewer feeling could potentially affect ability obtain said job,,doesnt truly count coworker one closest friend well discus anxiety depression somewhat often open,doesnt truly count coworker one closest friend well discus anxiety depression somewhat often open,,,,think opening conversation around issue increasing awareness around mental health would help ease conversation,,thank,depends applicability job detrimental could stigma attached mental health knowing interviewer feeling could potentially affect ability obtain said job  doesnt truly count coworker one closest friend well discus anxiety depression somewhat often open doesnt truly count coworker one closest friend well discus anxiety depression somewhat often open    think opening conversation around issue increasing awareness around mental health would help ease conversation  thank,0.6692,Positive,United States of America
discrimination/bias,discrimination/bias,,,,,,,,,,discriminationbias,discriminationbias,,,,,,,,,,discriminationbias discriminationbias         ,0,Neutral,United States of America
wouldn't want to risk not getting the job,wouldn't want to risk not getting the job,,discussed my issues with anxiety and depression,connecting over our shared struggles with anxiety,anxiety issues with a past boss. she helped me work through some holistically. ,anxiety issues,same,,,,wouldnt want risk getting job,wouldnt want risk getting job,,discussed issue anxiety depression,connecting shared struggle anxiety,anxiety issue past bos helped work holistically,anxiety issue,,,,,wouldnt want risk getting job wouldnt want risk getting job  discussed issue anxiety depression connecting shared struggle anxiety anxiety issue past bos helped work holistically anxiety issue    ,-0.7364,Negative,United States of America
"Would, because it is a safety issue for me, to not disclose the information. Just awareness. ","I just would not because I don’t think it changes how I perform my job. Work still gets done, just might go about it differently if I’m having trouble. ",,Explained I have generalized anxiety and clinical depression. Was a reaching out moment to encourage others. Well received. ,"Suffer from Depression, let them know they aren’t alone and people care. ",,,,Emphasize more on whole person health as an important goal for all. More posters or ads. ,,,would safety issue disclose information awareness,would dont think change perform job work still get done might go differently im trouble,,explained generalized anxiety clinical depression reaching moment encourage others well received,suffer depression let know arent alone people care,,,,emphasize whole person health important goal poster ad,,,would safety issue disclose information awareness would dont think change perform job work still get done might go differently im trouble  explained generalized anxiety clinical depression reaching moment encourage others well received suffer depression let know arent alone people care    emphasize whole person health important goal poster ad  ,-0.7497,Negative,United States of America
"If it was a physical issue that would make me miss work regularly, I'd bring it up.  If it was something I could power through, no.",Too much stigma yet,,,,,,"I was told that my professional critique caused a burden to their condition.  While I respect this, and offered to do it a different way, they said I could provide no critique as it would affect them negatively.  That I couldn't abide with.","Too many people use OCD and ADHD as jokes to describe their tendency or their laziness and lack of desire to pay attention. I know there are some people who have this, but the amount of people who jokingly profess they have it (without diagnosis) make it harder for people to admit they have these things in real life.  In addition, it's less of a direct tech issue than a masculine issue.  Transitive property: Tech is masculine, it's not masculine to admit you have issues, therefore, you don't admit it in tech.",,,physical issue would make miss work regularly id bring something could power,much stigma yet,,,,,,told professional critique caused burden condition respect offered different way said could provide critique would affect negatively couldnt abide,many people use ocd adhd joke describe tendency laziness lack desire pay attention know people amount people jokingly profess without diagnosis make harder people admit thing real life addition less direct tech issue masculine issue transitive property tech masculine masculine admit issue therefore dont admit tech,,,physical issue would make miss work regularly id bring something could power much stigma yet      told professional critique caused burden condition respect offered different way said could provide critique would affect negatively couldnt abide many people use ocd adhd joke describe tendency laziness lack desire pay attention know people amount people jokingly profess without diagnosis make harder people admit thing real life addition less direct tech issue masculine issue transitive property tech masculine masculine admit issue therefore dont admit tech  ,0.6369,Positive,United States of America
Depends on who I was talking to,No knowledge of how supportive they are,,Had a text conversation on slack and they were very supportive,"They covered how they were currently feeling, the pressure they were under, and how it was affecting them",,,,Provide support and educate from the top down ensuring line managers especially are supportive and educated,,,depends talking,knowledge supportive,,text conversation slack supportive,covered currently feeling pressure affecting,,,,provide support educate top ensuring line manager especially supportive educated,,,depends talking knowledge supportive  text conversation slack supportive covered currently feeling pressure affecting    provide support educate top ensuring line manager especially supportive educated  ,0.8591,Positive,United States of America
,,,Stressed about a project that that as affecting me out of work,,,,,,,,,,,stressed project affecting work,,,,,,,,   stressed project affecting work       ,-0.34,Negative,United Kingdom
usually relatively simple to adjust to physical limitations with some tools.,most employers don't know how to handle such issues and mostly see obstacles and expect more sick time,,,,not a formal conversation. more a 'how are you' with a colleague who happens to be in management position.,,can't remember in detail,"teach people how to recognise issues, how to respond and/or how to find the right person to help.",,,usually relatively simple adjust physical limitation tool,employer dont know handle issue mostly see obstacle expect sick time,,,,formal conversation colleague happens management position,,cant remember detail,teach people recognise issue respond andor find right person help,,,usually relatively simple adjust physical limitation tool employer dont know handle issue mostly see obstacle expect sick time    formal conversation colleague happens management position  cant remember detail teach people recognise issue respond andor find right person help  ,-0.6486,Negative,United Kingdom
